ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250522_160338_beb7964c,0,0,99.99,13.489999999999998,13.491349134913492,99.99,13.489999999999998
250522_160353_ea1bf174,0,5,99.99,41.89,41.8941894189419,99.99,41.89
250522_160405_83782aab,0,10,99.92,49.75,49.789831865492395,99.92,49.75
250522_160415_b56d5fec,0,15,99.49,49.46,49.71353904915067,99.49,49.46
250522_160427_6a75c9a9,0,20,98.96000000000001,50.01,50.53556992724333,98.96000000000001,50.01
250522_160437_12c50397,0,25,97.65,50.43,51.64362519201229,97.65,50.43
250522_160447_9131ef51,0,30,94.56,49.769999999999996,52.63324873096447,94.56,49.769999999999996
250522_160457_bfa261c8,0,35,89.4,50.470000000000006,56.45413870246085,89.4,50.470000000000006
250522_160507_e8a6af6b,0,40,80.45,49.53,61.56619018023617,80.45,49.53
250522_160517_3ab2720f,0,45,69.26,50.74999999999999,73.2746173837713,69.26,50.74999999999999
250522_160526_abf0f5ca,10,0,99.97,50.19,50.20506151845554,99.97,50.19
250522_160535_1c99249a,10,5,99.95,50.160000000000004,50.18509254627313,99.95,50.160000000000004
250522_160545_f25f33b6,10,10,99.83999999999999,49.919999999999995,50.0,99.83999999999999,49.919999999999995
250522_160556_b8abde8e,10,15,99.5,48.809999999999995,49.05527638190954,99.5,48.809999999999995
250522_160608_22eda9f6,10,20,99.1,49.89,50.343087790111,99.1,49.89
250522_160618_d4782483,10,25,97.81,50.349999999999994,51.47735405377774,97.81,50.349999999999994
250522_160628_6d983288,10,30,95.64,49.7,51.96570472605604,95.64,49.7
250522_160639_5651d8c1,10,35,91.24,50.33,55.16220955721175,91.24,50.33
250522_160651_7d0d9a66,10,40,84.15,50.849999999999994,60.42780748663101,84.15,50.849999999999994
250522_160703_656d3051,10,45,71.74000000000001,49.84,69.47309729579035,71.74000000000001,49.84
250522_160712_2ec630f4,20,0,100.0,48.949999999999996,48.949999999999996,100.0,48.949999999999996
250522_160722_59ec73b9,20,5,100.0,49.19,49.19,100.0,49.19
250522_160731_5cc5a3f3,20,10,100.0,49.47,49.47,100.0,49.47
250522_160741_58533e9e,20,15,99.96000000000001,49.13,49.14965986394558,99.96000000000001,49.13
250522_160750_e5bbb1f7,20,20,99.94,50.09,50.12007204322594,99.94,50.09
250522_160759_253e656b,20,25,99.65,49.4,49.573507275464124,99.65,49.4
250522_160808_ff85d268,20,30,98.91,49.29,49.833181680315434,98.91,49.29
250522_160818_34301e35,20,35,97.07000000000001,49.93,51.437107242196355,97.07000000000001,49.93
250522_160827_94677ee7,20,40,91.59,49.8,54.372748116606616,91.59,49.8
250522_160836_6b8209c5,20,45,78.18,49.07,62.765413149143,78.18,49.07
250522_160846_2a1e7db5,30,0,100.0,49.66,49.66,100.0,49.66
250522_160855_03aa6715,30,5,100.0,49.919999999999995,49.919999999999995,100.0,49.919999999999995
250522_160904_a1f743a1,30,10,100.0,48.449999999999996,48.449999999999996,100.0,48.449999999999996
250522_160914_a57d6eb2,30,15,100.0,49.72,49.72,100.0,49.72
250522_160923_4d33b883,30,20,100.0,50.14999999999999,50.14999999999999,100.0,50.14999999999999
250522_160932_431592cf,30,25,99.98,49.36,49.369873974794956,99.98,49.36
250522_160942_08673fe5,30,30,99.88,50.129999999999995,50.19022827392872,99.88,50.129999999999995
250522_160951_dd44284c,30,35,99.22,49.220000000000006,49.60693408586979,99.22,49.220000000000006
250522_161000_303416ad,30,40,95.98,49.27,51.33361116899354,95.98,49.27
250522_161010_2673a16b,30,45,83.48,49.39,59.16387158600862,83.48,49.39
250522_161019_a5f32976,40,0,100.0,49.25,49.25,100.0,49.25
250522_161028_8a54f433,40,5,100.0,50.239999999999995,50.239999999999995,100.0,50.239999999999995
250522_161038_1a6c817d,40,10,100.0,49.370000000000005,49.370000000000005,100.0,49.370000000000005
250522_161047_3a658a75,40,15,100.0,49.309999999999995,49.309999999999995,100.0,49.309999999999995
250522_161057_24c880f0,40,20,100.0,49.6,49.6,100.0,49.6
250522_161106_67a6f4b5,40,25,100.0,49.120000000000005,49.120000000000005,100.0,49.120000000000005
250522_161115_27f61324,40,30,100.0,49.89,49.89,100.0,49.89
250522_161124_eaa95498,40,35,99.78,48.6,48.707155742633795,99.78,48.6
250522_161134_e1de566c,40,40,98.08,48.63,49.581973898858074,98.08,48.63
250522_161143_17b9348f,40,45,86.75,49.480000000000004,57.03746397694525,86.75,49.480000000000004
