ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250521_134315_9bad0ec3,0,0,100.0,45.910000000000004,45.910000000000004,100.0,45.910000000000004
250521_134324_0d26a3a0,0,5,100.0,46.050000000000004,46.050000000000004,100.0,46.050000000000004
250521_134333_1fdbfc37,0,10,100.0,46.1,46.1,100.0,46.1
250521_134342_e49c33a8,0,15,100.0,46.94,46.94,100.0,46.94
250521_134352_4a8f4c37,0,20,99.99,46.51,46.514651465146514,99.99,46.51
250521_134402_14cc395f,0,25,99.83,46.379999999999995,46.45898026645297,99.83,46.379999999999995
250521_134412_e2c62822,0,30,99.08,46.589999999999996,47.022607993540575,99.08,46.589999999999996
250521_134421_29c73555,0,35,95.88,46.98,48.99874843554443,95.88,46.98
250521_134429_eb1d5d49,0,40,87.83999999999999,46.57,53.01684881602914,87.83999999999999,46.57
250521_134438_2365fde8,0,45,72.45,46.37,64.00276052449966,72.45,46.37
250521_134447_9990b55f,10,0,100.0,47.68,47.68,100.0,47.68
250521_134457_e493e62e,10,5,100.0,45.81,45.81,100.0,45.81
250521_134506_6f3dbf8a,10,10,100.0,46.739999999999995,46.739999999999995,100.0,46.739999999999995
250521_134516_12666e0f,10,15,100.0,47.05,47.05,100.0,47.05
250521_134526_abde6981,10,20,99.94,45.96,45.98759255553332,99.94,45.96
250521_134535_3ae819e8,10,25,99.78,47.57,47.674884746442174,99.78,47.57
250521_134544_49760f89,10,30,98.95,45.94,46.427488630621525,98.95,45.94
250521_134555_a00838cb,10,35,95.94,46.489999999999995,48.4573691890765,95.94,46.489999999999995
250521_134604_2eeb579c,10,40,88.42,46.300000000000004,52.363718615697806,88.42,46.300000000000004
250521_134615_4efdd15f,10,45,71.84,46.81,65.1586859688196,71.84,46.81
250521_134625_193a5ef2,20,0,100.0,46.19,46.19,100.0,46.19
250521_134634_bf395ae8,20,5,100.0,47.99,47.99,100.0,47.99
250521_134645_1f159a1e,20,10,100.0,47.11,47.11,100.0,47.11
250521_134655_d39998ac,20,15,100.0,45.89,45.89,100.0,45.89
250521_134704_bfc40ba3,20,20,99.97,47.07,47.08412523757127,99.97,47.07
250521_134714_f261a2af,20,25,99.87,47.160000000000004,47.22138780414539,99.87,47.160000000000004
250521_134724_acd1dd7b,20,30,98.88,46.6,47.127831715210355,98.88,46.6
250521_134733_803ead4a,20,35,95.92,47.17,49.17639699749792,95.92,47.17
250521_134743_6a7fd799,20,40,87.16000000000001,46.56,53.41899954107389,87.16000000000001,46.56
250521_134754_e281464d,20,45,71.71,45.49,63.436061916050754,71.71,45.49
250521_134804_a8f4db0b,30,0,100.0,46.5,46.5,100.0,46.5
250521_134814_e99c4c79,30,5,100.0,46.78,46.78,100.0,46.78
250521_134823_4545bd85,30,10,100.0,46.56,46.56,100.0,46.56
250521_134833_f86e7a49,30,15,100.0,46.989999999999995,46.989999999999995,100.0,46.989999999999995
250521_134843_6a4de226,30,20,99.98,45.7,45.709141828365674,99.98,45.7
250521_134853_74f95fd7,30,25,99.8,46.75,46.8436873747495,99.8,46.75
250521_134902_dfd2e339,30,30,98.78,46.52,47.094553553350885,98.78,46.52
250521_134912_9ea025e8,30,35,95.71,46.58,48.66785079928952,95.71,46.58
250521_134921_36044a8b,30,40,87.45,46.989999999999995,53.73356203544882,87.45,46.989999999999995
250521_134930_e5ce2f65,30,45,71.48,46.239999999999995,64.6894236149972,71.48,46.239999999999995
250521_134940_d9efc8fa,40,0,100.0,46.42,46.42,100.0,46.42
250521_134950_8840f8c3,40,5,100.0,46.35,46.35,100.0,46.35
250521_135000_d9bc77c4,40,10,100.0,46.27,46.27,100.0,46.27
250521_135010_b4501c74,40,15,100.0,46.71,46.71,100.0,46.71
250521_135022_10296bed,40,20,99.98,46.79,46.799359871974396,99.98,46.79
