ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250528_123406_429f1b38,0,0,98.09,45.440000000000005,46.32480375165664,98.09,45.440000000000005
250528_123415_54d474e8,0,5,97.66,45.12,46.2011058775343,97.66,45.12
250528_123424_4f15552f,0,10,96.61999999999999,44.71,46.274063340923206,96.61999999999999,44.71
250528_123432_c87e671e,0,15,95.56,45.190000000000005,47.28966094600251,95.56,45.190000000000005
250528_123441_494cf661,0,20,93.51,45.269999999999996,48.411934552454284,93.51,45.269999999999996
250528_123450_f609f5b6,0,25,89.44,45.0,50.31305903398927,89.44,45.0
250528_123458_954ccaa9,0,30,85.41,44.05,51.57475705420911,85.41,44.05
250528_123507_f28f71f6,0,35,79.88,44.14,55.257886830245376,79.88,44.14
250528_123516_2bbbdb1f,0,40,71.5,43.76,61.2027972027972,71.5,43.76
250528_123524_e098f02a,0,45,63.629999999999995,45.410000000000004,71.36570799937137,63.629999999999995,45.410000000000004
250528_123533_7075f346,10,0,98.65,45.06,45.676634566649774,98.65,45.06
250528_123541_4ede5ae9,10,5,98.2,44.940000000000005,45.76374745417515,98.2,44.940000000000005
250528_123550_eee07d5b,10,10,97.49,44.68,45.830341573494714,97.49,44.68
250528_123559_2ce11751,10,15,96.21,45.129999999999995,46.90780584138863,96.21,45.129999999999995
250528_123608_0712b20e,10,20,94.11,45.34,48.177664435235364,94.11,45.34
250528_123616_3a6cdbb6,10,25,91.10000000000001,45.23,49.648737650933036,91.10000000000001,45.23
250528_123625_0dc85e5a,10,30,86.13,44.95,52.18855218855219,86.13,44.95
250528_123634_b4389cba,10,35,81.95,45.769999999999996,55.85112873703477,81.95,45.769999999999996
250528_123642_f3815c63,10,40,73.08,45.0,61.57635467980296,73.08,45.0
250528_123651_0c552b29,10,45,63.63999999999999,44.879999999999995,70.52168447517285,63.63999999999999,44.879999999999995
250528_123700_034de1e1,20,0,99.42999999999999,44.46,44.714874786281804,99.42999999999999,44.46
250528_123709_bd15885d,20,5,99.26,45.629999999999995,45.97017932701995,99.26,45.629999999999995
250528_123717_ecd9c18b,20,10,98.91,45.379999999999995,45.880093013850974,98.91,45.379999999999995
250528_123726_d369db3a,20,15,97.65,44.15,45.212493599590374,97.65,44.15
250528_123735_4b4073fe,20,20,95.81,45.050000000000004,47.02014403506941,95.81,45.050000000000004
250528_123744_5e6f41d9,20,25,92.99,44.42,47.76857726637273,92.99,44.42
250528_123752_62eff638,20,30,88.62,45.12,50.91401489505755,88.62,45.12
250528_123801_160523f3,20,35,82.96,45.660000000000004,55.03857280617165,82.96,45.660000000000004
250528_123810_49640c4e,20,40,75.01,45.42,60.551926409812026,75.01,45.42
250528_123819_45749b66,20,45,63.77,45.39,71.17766975066647,63.77,45.39
250528_123828_ddceef5f,30,0,99.75,46.21,46.32581453634085,99.75,46.21
250528_123836_64b9dec4,30,5,99.56,44.99,45.18883085576537,99.56,44.99
250528_123845_e4139a96,30,10,99.14,45.0,45.39035707080895,99.14,45.0
250528_123854_bbb20975,30,15,98.54,44.769999999999996,45.433326567891214,98.54,44.769999999999996
250528_123903_9d22c28a,30,20,96.88,45.12,46.573080099091655,96.88,45.12
250528_123912_7a214280,30,25,94.45,45.07,47.718369507676016,94.45,45.07
250528_123920_cac8105e,30,30,90.11,45.129999999999995,50.083231605815115,90.11,45.129999999999995
250528_123929_1a2199f1,30,35,83.34,45.540000000000006,54.64362850971922,83.34,45.540000000000006
250528_123938_0cad26b2,30,40,75.53999999999999,45.34,60.02118083134763,75.53999999999999,45.34
250528_123947_83f040cd,30,45,64.34,46.46,72.2101336649052,64.34,46.46
250528_123956_9db3f51c,40,0,99.85000000000001,45.03,45.09764646970456,99.85000000000001,45.03
250528_124004_c5fa947f,40,5,99.86,45.769999999999996,45.83416783496896,99.86,45.769999999999996
250528_124013_bc798858,40,10,99.42,44.82,45.08147254073627,99.42,44.82
250528_124022_9be678c9,40,15,98.79,44.87,45.419576880251036,98.79,44.87
250528_124031_fc25887d,40,20,97.39,45.98,47.21223944963548,97.39,45.98
250528_124040_c8b32515,40,25,95.09,44.379999999999995,46.67157429803344,95.09,44.379999999999995
250528_124049_5cc75ea4,40,30,91.21000000000001,44.01,48.25128823593904,91.21000000000001,44.01
250528_124058_541fa519,40,35,84.74000000000001,44.45,52.454566910549914,84.74000000000001,44.45
250528_124106_094a0ab8,40,40,76.41,45.37,59.377044889412375,76.41,45.37
250528_124115_92800d67,40,45,63.46000000000001,44.47,70.07563819728963,63.46000000000001,44.47
250528_124124_11893f9f,50,0,99.92999999999999,45.65,45.68197738416892,99.92999999999999,45.65
250528_124133_6f6570ad,50,5,99.89,45.32,45.36990689758735,99.89,45.32
250528_124142_2a2da2bf,50,10,99.62,45.28,45.45272033728167,99.62,45.28
250528_124150_343fc985,50,15,99.07000000000001,45.540000000000006,45.96749772887857,99.07000000000001,45.540000000000006
250528_124159_bf7615eb,50,20,98.04,44.51,45.39983680130559,98.04,44.51
250528_124208_99fc9451,50,25,95.82000000000001,45.34,47.317887706115634,95.82000000000001,45.34
250528_124217_c9e4be8a,50,30,91.57,45.36,49.53587419460522,91.57,45.36
250528_124226_66043f64,50,35,85.82,45.03,52.470286646469354,85.82,45.03
250528_124235_38b0a1b6,50,40,76.06,45.9,60.347094399158564,76.06,45.9
250528_124244_58d4ce99,50,45,64.74,45.14,69.72505406240346,64.74,45.14
250528_124252_7589fa56,60,0,99.92999999999999,44.73,44.76133293305314,99.92999999999999,44.73
250528_124302_44b73252,60,5,99.88,45.34,45.39447336804165,99.88,45.34
250528_124310_f97df12b,60,10,99.69,45.410000000000004,45.551208747116064,99.69,45.410000000000004
250528_124319_1b71376c,60,15,99.27,44.65,44.97834189583963,99.27,44.65
250528_124328_b2102fbe,60,20,98.16,43.53,44.34596577017115,98.16,43.53
250528_124337_f5d7ca34,60,25,96.08,45.629999999999995,47.49167360532889,96.08,45.629999999999995
250528_124346_cf36e529,60,30,92.14,45.29,49.153462122856524,92.14,45.29
250528_124355_5ffb4ecd,60,35,85.85000000000001,44.97,52.382061735585324,85.85000000000001,44.97
250528_124404_3c1b8ce3,60,40,77.53999999999999,45.5,58.67939128191901,77.53999999999999,45.5
250528_124412_6f9197bb,60,45,64.94,44.529999999999994,68.57098860486603,64.94,44.529999999999994
250528_124421_b42ef397,70,0,99.95,44.42,44.44222111055528,99.95,44.42
250528_124430_63c6f593,70,5,99.92,44.55,44.58566853482786,99.92,44.55
250528_124439_f00faef1,70,10,99.76,45.03,45.1383319967923,99.76,45.03
250528_124448_8e2e5b5a,70,15,99.29,44.879999999999995,45.20092657870883,99.29,44.879999999999995
250528_124457_ae202e20,70,20,98.28,45.2,45.99104599104599,98.28,45.2
250528_124506_ea5215cd,70,25,96.69,44.800000000000004,46.33364360326818,96.69,44.800000000000004
250528_124515_3b546dec,70,30,92.44,44.48,48.11769796624838,92.44,44.48
250528_124523_fd4cfc80,70,35,86.82,45.36,52.24602626123013,86.82,45.36
250528_124532_a43b05b0,70,40,77.92999999999999,45.85,58.83485179006801,77.92999999999999,45.85
250528_124541_51e9ac68,70,45,64.2,44.28,68.97196261682244,64.2,44.28
250528_124550_a5277ed4,80,0,99.97,44.86,44.873462038611585,99.97,44.86
250528_124559_1d004607,80,5,99.95,45.0,45.02251125562781,99.95,45.0
250528_124608_43af7b26,80,10,99.76,45.45,45.559342421812346,99.76,45.45
250528_124617_f1265e69,80,15,99.39,45.22,45.49753496327598,99.39,45.22
250528_124626_8f17144b,80,20,98.36,44.96,45.70963806425376,98.36,44.96
250528_124634_605a9f3e,80,25,96.84,46.26,47.76951672862453,96.84,46.26
250528_124644_3a2d12b8,80,30,92.65,44.65,48.19212088505127,92.65,44.65
250528_124653_00a392c3,80,35,86.76,44.940000000000005,51.79806362378977,86.76,44.940000000000005
250528_124701_dc82d2d0,80,40,76.59,44.15,57.64460112286199,76.59,44.15
250528_124710_5c7181bf,80,45,65.45,46.39,70.8785332314744,65.45,46.39
250528_124719_ea8be348,90,0,99.98,45.35,45.35907181436287,99.98,45.35
250528_124728_274c021c,90,5,99.94,44.57,44.596758054832904,99.94,44.57
250528_124737_41ddb959,90,10,99.75,45.440000000000005,45.553884711779446,99.75,45.440000000000005
250528_124746_3d6959f5,90,15,99.39,46.0,46.282322165207766,99.39,46.0
250528_124755_64d9b79d,90,20,98.50999999999999,45.89,46.58410313673739,98.50999999999999,45.89
250528_124803_a5a5a07b,90,25,96.53,45.24,46.86625919403294,96.53,45.24
250528_124812_89bb399c,90,30,92.74,46.1,49.708863489325,92.74,46.1
250528_124821_8de423ee,90,35,86.61999999999999,45.739999999999995,52.80535673054722,86.61999999999999,45.739999999999995
250528_124830_c742dda8,90,40,77.07000000000001,45.25,58.71285844037888,77.07000000000001,45.25
250528_124839_6b42dfad,90,45,65.71000000000001,45.37,69.045807335261,65.71000000000001,45.37
250528_124848_e2486267,100,0,100.0,44.9,44.9,100.0,44.9
250528_124857_f15a6c5e,100,5,99.98,45.39,45.3990798159632,99.98,45.39
250528_124906_ea51d0aa,100,10,99.81,45.94,46.027452159102296,99.81,45.94
250528_124915_752209fc,100,15,99.58,45.31,45.50110463948584,99.58,45.31
250528_124924_23c3a4d4,100,20,98.64,44.4,45.01216545012166,98.64,44.4
250528_124932_96f00ba1,100,25,96.71,45.769999999999996,47.32706028332127,96.71,45.769999999999996
250528_124942_e2164192,100,30,92.78999999999999,45.31,48.83069296260373,92.78999999999999,45.31
250528_124950_95a58b76,100,35,87.15,44.59,51.16465863453815,87.15,44.59
250528_125000_5ff2d28e,100,40,76.91,44.3,57.59979196463399,76.91,44.3
250528_125008_97094ec5,100,45,64.67,45.31,70.0633987938766,64.67,45.31
250528_125017_654ac444,110,0,99.92,45.17,45.20616493194556,99.92,45.17
250528_125026_ee6ca758,110,5,99.92999999999999,45.25,45.28169718803162,99.92999999999999,45.25
250528_125035_ef424b6d,110,10,99.87,45.1,45.158706318213675,99.87,45.1
250528_125044_8087833e,110,15,99.56,45.11,45.309361189232625,99.56,45.11
250528_125053_b9b0dc9e,110,20,98.71,44.519999999999996,45.10181339276669,98.71,44.519999999999996
250528_125102_f5ee02ca,110,25,96.89999999999999,44.18,45.59339525283798,96.89999999999999,44.18
250528_125111_1090f593,110,30,93.32000000000001,45.129999999999995,48.360480068581225,93.32000000000001,45.129999999999995
250528_125120_5cd8c163,110,35,87.03,44.519999999999996,51.154774215787654,87.03,44.519999999999996
250528_125129_9eb84075,110,40,78.14999999999999,45.06,57.658349328214975,78.14999999999999,45.06
250528_125137_7dedb038,110,45,65.86,45.11,68.49377467354995,65.86,45.11
250528_125147_ed5cdf32,120,0,99.99,45.96,45.96459645964596,99.99,45.96
250528_125155_989b0b3c,120,5,99.97,45.46,45.473642092627784,99.97,45.46
250528_125204_311dacb9,120,10,99.77000000000001,44.99,45.09371554575524,99.77000000000001,44.99
250528_125213_eca2869a,120,15,99.51,45.129999999999995,45.35222590694403,99.51,45.129999999999995
250528_125222_5aabb4a2,120,20,98.82,45.75,46.2962962962963,98.82,45.75
250528_125231_37537e6c,120,25,96.67,44.529999999999994,46.063928830040346,96.67,44.529999999999994
250528_125240_03d9a867,120,30,93.15,44.7,47.987117552334944,93.15,44.7
250528_125249_2c9e4ebb,120,35,87.2,44.91,51.50229357798165,87.2,44.91
250528_125258_341dd65d,120,40,77.60000000000001,45.69,58.878865979381445,77.60000000000001,45.69
250528_125307_258a2ee9,120,45,65.62,45.58,69.46053032612008,65.62,45.58
250528_125316_22bf6abb,130,0,99.98,44.879999999999995,44.88897779555911,99.98,44.879999999999995
250528_125325_07444af0,130,5,99.95,44.7,44.7223611805903,99.95,44.7
250528_125333_3f5ea192,130,10,99.87,45.7,45.75948733353359,99.87,45.7
250528_125342_b2973ab7,130,15,99.6,44.13,44.30722891566265,99.6,44.13
250528_125352_c43fe054,130,20,98.72999999999999,45.14,45.72065228400689,98.72999999999999,45.14
250528_125400_174a7e22,130,25,97.13000000000001,45.629999999999995,46.97827653660043,97.13000000000001,45.629999999999995
250528_125409_9463c298,130,30,93.10000000000001,44.440000000000005,47.73361976369495,93.10000000000001,44.440000000000005
250528_125418_258b2be3,130,35,87.42,45.910000000000004,52.51658659345687,87.42,45.910000000000004
250528_125427_c3291c90,130,40,77.52,45.050000000000004,58.114035087719294,77.52,45.050000000000004
250528_125436_075e8aeb,130,45,65.64,46.150000000000006,70.30773918342474,65.64,46.150000000000006
250528_125445_1b573189,140,0,99.97,44.73,44.743423026908076,99.97,44.73
250528_125454_12a62786,140,5,99.9,45.64,45.685685685685684,99.9,45.64
250528_125503_d15ce1d4,140,10,99.82,45.49,45.57202965337608,99.82,45.49
250528_125512_4c8082b8,140,15,99.48,44.769999999999996,45.00402090872537,99.48,44.769999999999996
250528_125521_282292e2,140,20,98.65,44.84,45.453623922959956,98.65,44.84
250528_125530_7b2394c0,140,25,97.1,44.96,46.30278063851699,97.1,44.96
250528_125538_62658c0e,140,30,93.63,45.51,48.60621595642422,93.63,45.51
250528_125547_2549c171,140,35,87.37,45.0,51.505093281446726,87.37,45.0
250528_125556_564f7e49,140,40,77.66,44.93,57.8547514808138,77.66,44.93
250528_125605_856e4571,140,45,64.92,44.76,68.94639556377079,64.92,44.76
250528_125614_d04f92a6,150,0,99.99,44.4,44.404440444044404,99.99,44.4
250528_125623_5b9c903d,150,5,99.95,45.7,45.722861430715355,99.95,45.7
250528_125632_6723312a,150,10,99.92999999999999,44.85,44.881416991894326,99.92999999999999,44.85
250528_125641_8e6bd9d4,150,15,99.49,44.81,45.039702482661575,99.49,44.81
250528_125650_7f4e3cd7,150,20,98.66,44.61,45.21589296574093,98.66,44.61
250528_125659_3a42c89f,150,25,97.19,45.32,46.63031176046918,97.19,45.32
