ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250529_140933_b644b223,0,0,100.0,47.89,47.89,100.0,47.89
250529_140943_bfca1400,0,5,100.0,49.01,49.01,100.0,49.01
250529_140952_3dc5f516,0,10,100.0,48.089999999999996,48.089999999999996,100.0,48.089999999999996
250529_141004_63582f60,0,15,100.0,48.339999999999996,48.339999999999996,100.0,48.339999999999996
250529_141016_ea99878b,0,20,99.97,48.44,48.45453636090827,99.97,48.44
250529_141028_f21f52e9,0,25,99.85000000000001,48.089999999999996,48.162243365047566,99.85000000000001,48.089999999999996
250529_141044_fdda2dc7,0,30,99.22999999999999,48.35,48.72518391615439,99.22999999999999,48.35
250529_141057_1872d379,0,35,96.84,48.53,50.113589425857086,96.84,48.53
250529_141109_4183a6ed,0,40,91.43,48.63,53.18823143388385,91.43,48.63
250529_141119_f08f4ade,0,45,77.46,48.82,63.02607797572941,77.46,48.82
250529_141130_e2bfb8a7,10,0,100.0,47.64,47.64,100.0,47.64
250529_141140_7b2818d1,10,5,100.0,48.57,48.57,100.0,48.57
250529_141152_18889059,10,10,100.0,48.199999999999996,48.199999999999996,100.0,48.199999999999996
250529_141204_361c30b6,10,15,100.0,47.89,47.89,100.0,47.89
250529_141217_24081e55,10,20,99.97,47.870000000000005,47.88436530959288,99.97,47.870000000000005
250529_141227_2333fdf6,10,25,99.92999999999999,49.04,49.0743520464325,99.92999999999999,49.04
250529_141240_de4301af,10,30,99.49,47.03,47.27108252085637,99.49,47.03
250529_141252_d0a6e624,10,35,97.87,48.55,49.60662102789414,97.87,48.55
250529_141304_b4586f9d,10,40,92.41,48.03,51.97489449193811,92.41,48.03
250529_141317_5ac7ca07,10,45,78.34,47.78,60.99055399540465,78.34,47.78
250529_141330_e802c4ab,20,0,100.0,48.4,48.4,100.0,48.4
250529_141343_46527296,20,5,100.0,47.74,47.74,100.0,47.74
250529_141354_d30147b5,20,10,100.0,48.32,48.32,100.0,48.32
250529_141403_cf4e69a7,20,15,100.0,48.86,48.86,100.0,48.86
250529_141417_845325d7,20,20,99.99,49.120000000000005,49.12491249124912,99.99,49.120000000000005
250529_141427_cbf42d6f,20,25,99.97,48.9,48.9146744023207,99.97,48.9
250529_141439_c0188dbe,20,30,99.76,47.77,47.88492381716119,99.76,47.77
250529_141449_cdaadb31,20,35,98.50999999999999,47.870000000000005,48.594051365343624,98.50999999999999,47.870000000000005
250529_141458_ed81ceda,20,40,94.17,48.3,51.29021981522778,94.17,48.3
250529_141507_c50cf47d,20,45,79.77,47.52,59.571267393757054,79.77,47.52
250529_141519_dd3eabc5,30,0,100.0,48.230000000000004,48.230000000000004,100.0,48.230000000000004
250529_141531_db6fb69f,30,5,100.0,49.519999999999996,49.519999999999996,100.0,49.519999999999996
250529_141542_b26cae77,30,10,100.0,48.55,48.55,100.0,48.55
250529_141552_11d35233,30,15,100.0,47.94,47.94,100.0,47.94
250529_141602_3daaab9d,30,20,99.99,48.13,48.13481348134813,99.99,48.13
250529_141613_3524bede,30,25,99.99,48.14,48.144814481448144,99.99,48.14
250529_141622_81153b8e,30,30,99.88,48.52,48.57829395274329,99.88,48.52
250529_141633_61dcd3f8,30,35,99.27,47.22,47.567240858265336,99.27,47.22
250529_141644_7e6375ed,30,40,95.61,47.5,49.68099571174564,95.61,47.5
250529_141654_11c66d3c,30,45,81.5,48.010000000000005,58.9079754601227,81.5,48.010000000000005
250529_141708_aee4e735,40,0,100.0,48.14,48.14,100.0,48.14
250529_141720_10fc041e,40,5,100.0,48.3,48.3,100.0,48.3
250529_141730_db48205d,40,10,100.0,47.8,47.8,100.0,47.8
250529_141740_b0fa7aff,40,15,100.0,48.19,48.19,100.0,48.19
250529_141750_429927b7,40,20,100.0,48.16,48.16,100.0,48.16
250529_141801_22b50725,40,25,99.99,47.93,47.93479347934794,99.99,47.93
250529_141812_19dbae5c,40,30,99.96000000000001,48.97,48.98959583833533,99.96000000000001,48.97
250529_141822_1848a481,40,35,99.45,47.870000000000005,48.134741075917546,99.45,47.870000000000005
250529_141834_e1d0f226,40,40,96.08,47.349999999999994,49.28184845961698,96.08,47.349999999999994
250529_141847_ae06e53f,40,45,83.59,48.370000000000005,57.86577341787296,83.59,48.370000000000005
250529_141859_3cab0692,50,0,100.0,48.67,48.67,100.0,48.67
250529_141911_d4f45043,50,5,100.0,47.73,47.73,100.0,47.73
250529_141926_e5b3525f,50,10,100.0,48.13,48.13,100.0,48.13
250529_141937_dc697525,50,15,100.0,48.16,48.16,100.0,48.16
250529_141947_961c4513,50,20,100.0,48.15,48.15,100.0,48.15
250529_141956_d8ec8f74,50,25,100.0,48.620000000000005,48.620000000000005,100.0,48.620000000000005
250529_142008_b08d3544,50,30,99.98,48.61,48.61972394478896,99.98,48.61
250529_142018_9bb81a35,50,35,99.67,47.99,48.14889134142671,99.67,47.99
250529_142027_6311564b,50,40,96.8,48.17,49.76239669421488,96.8,48.17
250529_142039_5cae6e9b,50,45,83.66,47.79,57.12407363136505,83.66,47.79
250529_142049_6c2da94a,60,0,100.0,48.0,48.0,100.0,48.0
250529_142101_22a1780f,60,5,100.0,48.68,48.68,100.0,48.68
250529_142113_7801cc1f,60,10,100.0,47.36,47.36,100.0,47.36
250529_142129_af5b3fec,60,15,100.0,48.07,48.07,100.0,48.07
250529_142141_f13a216d,60,20,100.0,48.699999999999996,48.699999999999996,100.0,48.699999999999996
250529_142152_366097dc,60,25,100.0,48.55,48.55,100.0,48.55
250529_142206_e158272e,60,30,99.99,48.53,48.534853485348535,99.99,48.53
250529_142217_d272845e,60,35,99.71,48.35,48.4906228061378,99.71,48.35
250529_142230_44369818,60,40,97.05,48.97,50.4585265327151,97.05,48.97
250529_142243_7dd6cf4e,60,45,84.49,48.55,57.46242158835365,84.49,48.55
250529_142255_032212dd,70,0,100.0,48.69,48.69,100.0,48.69
250529_142309_3905bdf7,70,5,100.0,48.67,48.67,100.0,48.67
250529_142323_b9442588,70,10,100.0,48.05,48.05,100.0,48.05
250529_142335_55874f78,70,15,100.0,48.3,48.3,100.0,48.3
250529_142348_eae20056,70,20,100.0,48.27,48.27,100.0,48.27
250529_142403_440345e7,70,25,100.0,47.19,47.19,100.0,47.19
250529_142416_19dc97ca,70,30,99.99,48.5,48.50485048504851,99.99,48.5
250529_142427_ad88c35b,70,35,99.72,47.589999999999996,47.72362615322904,99.72,47.589999999999996
250529_142440_e32937e7,70,40,97.28999999999999,47.97,49.306197964847364,97.28999999999999,47.97
250529_142454_b9db02f0,70,45,85.16,48.620000000000005,57.09253170502583,85.16,48.620000000000005
250529_142510_3c9d749c,80,0,100.0,48.38,48.38,100.0,48.38
250529_142525_e9041e4b,80,5,100.0,48.94,48.94,100.0,48.94
250529_142537_9a978719,80,10,100.0,47.910000000000004,47.910000000000004,100.0,47.910000000000004
250529_142550_a224f95e,80,15,100.0,48.02,48.02,100.0,48.02
250529_142600_467c46f0,80,20,100.0,48.59,48.59,100.0,48.59
250529_142611_cee8158f,80,25,100.0,48.06,48.06,100.0,48.06
250529_142622_a14d8d58,80,30,100.0,48.4,48.4,100.0,48.4
250529_142632_ba9b4a50,80,35,99.83,49.26,49.3438846038265,99.83,49.26
250529_142643_a62ee6fb,80,40,97.38,48.42,49.72273567467653,97.38,48.42
250529_142655_74e4de41,80,45,84.58,47.39,56.029794277607,84.58,47.39
250529_142705_907eb046,90,0,100.0,48.209999999999994,48.209999999999994,100.0,48.209999999999994
250529_142717_01a1214b,90,5,100.0,48.209999999999994,48.209999999999994,100.0,48.209999999999994
250529_142728_ad97444b,90,10,100.0,47.23,47.23,100.0,47.23
250529_142740_49b5a06a,90,15,100.0,46.82,46.82,100.0,46.82
250529_142750_0b62e236,90,20,100.0,48.89,48.89,100.0,48.89
250529_142800_65f27e9a,90,25,100.0,47.339999999999996,47.339999999999996,100.0,47.339999999999996
250529_142812_1320b917,90,30,100.0,48.54,48.54,100.0,48.54
250529_142828_5ad5b0cb,90,35,99.8,48.980000000000004,49.07815631262525,99.8,48.980000000000004
250529_142841_b5ef3863,90,40,97.78,48.3,49.39660462262221,97.78,48.3
250529_142852_966a52d2,90,45,85.22999999999999,48.25,56.61152176463686,85.22999999999999,48.25
250529_142905_d8b2247c,100,0,100.0,48.61,48.61,100.0,48.61
250529_142919_3d83c3b0,100,5,100.0,48.9,48.9,100.0,48.9
250529_142930_b3042fd2,100,10,100.0,48.35,48.35,100.0,48.35
250529_142942_099673b7,100,15,100.0,48.52,48.52,100.0,48.52
250529_142956_3daae407,100,20,100.0,48.209999999999994,48.209999999999994,100.0,48.209999999999994
250529_143006_eb89c729,100,25,100.0,48.99,48.99,100.0,48.99
250529_143016_b33ae8c3,100,30,99.99,47.64,47.64476447644764,99.99,47.64
250529_143025_9e0e3550,100,35,99.83999999999999,48.65,48.727964743589745,99.83999999999999,48.65
250529_143049_5ca78c70,100,40,97.89999999999999,48.809999999999995,49.856996935648624,97.89999999999999,48.809999999999995
250529_143118_62aa4b45,100,45,85.61,47.99,56.05653545146595,85.61,47.99
250529_143142_00686d9f,110,0,100.0,48.870000000000005,48.870000000000005,100.0,48.870000000000005
250529_143204_0c90a2bd,110,5,100.0,48.22,48.22,100.0,48.22
250529_143220_540ec6b7,110,10,100.0,48.04,48.04,100.0,48.04
250529_143237_35bb2fcb,110,15,100.0,47.97,47.97,100.0,47.97
250529_143252_bcc7ccce,110,20,100.0,47.72,47.72,100.0,47.72
250529_143305_788f3fa4,110,25,100.0,48.57,48.57,100.0,48.57
250529_143318_c920cff2,110,30,99.99,48.14,48.144814481448144,99.99,48.14
250529_143334_1abcc42a,110,35,99.9,48.52,48.56856856856857,99.9,48.52
250529_143348_20cd0565,110,40,97.92999999999999,48.02,49.035025017869906,97.92999999999999,48.02
250529_143406_fc92a3af,110,45,85.9,49.18,57.25261932479627,85.9,49.18
250529_143430_2f17e19f,120,0,100.0,47.9,47.9,100.0,47.9
250529_143501_a8c4e12d,120,5,100.0,48.010000000000005,48.010000000000005,100.0,48.010000000000005
250529_143523_816337a8,120,10,100.0,48.43,48.43,100.0,48.43
250529_143545_d7d5f392,120,15,100.0,48.58,48.58,100.0,48.58
250529_143558_55b6cfe5,120,20,100.0,49.18,49.18,100.0,49.18
250529_143615_ada5ac16,120,25,100.0,47.68,47.68,100.0,47.68
250529_143630_e554733b,120,30,100.0,47.64,47.64,100.0,47.64
250529_143644_62c650e6,120,35,99.85000000000001,47.42,47.49123685528293,99.85000000000001,47.42
250529_143658_82da01ea,120,40,97.82,47.21,48.26211408709875,97.82,47.21
250529_143711_3684ba46,120,45,85.32,48.49,56.833098921706515,85.32,48.49
250529_143724_ca097f1f,130,0,100.0,48.230000000000004,48.230000000000004,100.0,48.230000000000004
250529_143740_6a9f20fa,130,5,100.0,48.93,48.93,100.0,48.93
250529_143753_8513785b,130,10,100.0,48.05,48.05,100.0,48.05
250529_143808_120786a3,130,15,100.0,48.54,48.54,100.0,48.54
250529_143824_a957d4ca,130,20,100.0,47.93,47.93,100.0,47.93
250529_143837_ffb85482,130,25,100.0,47.06,47.06,100.0,47.06
250529_143853_196cdffc,130,30,99.99,48.36,48.36483648364837,99.99,48.36
250529_143912_83c38ec3,130,35,99.92,48.35,48.38871096877502,99.92,48.35
250529_143926_32c3f995,130,40,98.02,48.84,49.82656600693736,98.02,48.84
250529_143938_16079ad3,130,45,85.22,48.230000000000004,56.59469608073222,85.22,48.230000000000004
