ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250502_113601_5e52a522,0,0,92.25,10.48,11.360433604336045,92.25,10.48
250502_113610_3ff9f15c,0,5,91.88,39.22,42.686112320417934,91.88,39.22
250502_113618_e9da9719,0,10,89.52,50.13999999999999,56.00983020554066,89.52,50.13999999999999
250502_113627_f9080ce2,0,15,85.06,49.49,58.18245944039502,85.06,49.49
250502_113636_2375bac5,0,20,81.8,50.17,61.33251833740832,81.8,50.17
250502_113644_f911eaee,0,25,77.03999999999999,49.43,64.16147455867082,77.03999999999999,49.43
250502_113653_1ac8ce2a,0,30,74.44,49.96,67.11445459430414,74.44,49.96
250502_113702_8de67eb2,0,35,68.89,50.36000000000001,73.1020467411816,68.89,50.36000000000001
250502_113710_75d68ba8,0,40,64.57000000000001,50.3,77.8999535387951,64.01,50.3
250502_113719_bfefbcb8,0,45,65.36999999999999,56.71000000000001,86.75233287440722,58.720000000000006,56.71000000000001
250502_113728_13ac8c35,10,0,99.78,50.2,50.310683503708155,99.78,50.2
250502_113736_005e16dd,10,5,99.79,49.65,49.75448441727628,99.79,49.65
250502_113745_1ab87118,10,10,99.65,49.79,49.964877069744105,99.65,49.79
250502_113754_7a3e1b83,10,15,99.37,49.1,49.41129113414512,99.37,49.1
250502_113803_1af7af83,10,20,99.13,49.6,50.03530717239988,99.13,49.6
250502_113811_c7df010e,10,25,98.72999999999999,50.24999999999999,50.89638407778791,98.72999999999999,50.24999999999999
250502_113820_6a35685f,10,30,97.8,49.55,50.66462167689162,97.8,49.55
250502_113829_ebfc8134,10,35,96.43,48.57,50.3681426941823,96.43,48.57
250502_113838_220fde41,10,40,93.45,50.239999999999995,53.7613697164259,93.45,50.239999999999995
250502_113846_a63a4d21,10,45,83.67999999999999,49.16,58.747609942638626,83.67,49.16
250502_113855_fad3aeab,20,0,100.0,49.46,49.46,100.0,49.46
250502_113904_66e32214,20,5,100.0,49.769999999999996,49.769999999999996,100.0,49.769999999999996
250502_113913_d351d1f5,20,10,100.0,49.6,49.6,100.0,49.6
250502_113922_4b8e5551,20,15,100.0,49.44,49.44,100.0,49.44
250502_113931_8936a8c1,20,20,100.0,50.07,50.07,100.0,50.07
250502_113939_373effe4,20,25,100.0,49.59,49.59,100.0,49.59
250502_113948_56b03cd2,20,30,100.0,49.53,49.53,100.0,49.53
250502_113957_623f8558,20,35,100.0,49.63,49.63,100.0,49.63
250502_114006_2ef6c5b0,20,40,99.95,49.8,49.82491245622811,99.95,49.8
250502_114015_5bdd0bb2,20,45,97.00999999999999,48.730000000000004,50.23193485207711,97.00999999999999,48.730000000000004
250502_114024_f222da7a,30,0,100.0,49.34,49.34,100.0,49.34
250502_114033_30ff87e7,30,5,100.0,49.44,49.44,100.0,49.44
250502_114041_7bf32132,30,10,100.0,50.54,50.54,100.0,50.54
250502_114050_4afb6703,30,15,100.0,49.7,49.7,100.0,49.7
250502_114059_d32eb99e,30,20,100.0,49.07,49.07,100.0,49.07
250502_114108_fe5cddd1,30,25,100.0,50.019999999999996,50.019999999999996,100.0,50.019999999999996
250502_114117_529c97d0,30,30,100.0,49.87,49.87,100.0,49.87
250502_114126_a2600910,30,35,100.0,49.91,49.91,100.0,49.91
250502_114134_38262a79,30,40,99.98,49.370000000000005,49.379875975195034,99.98,49.370000000000005
250502_114143_a43841a9,30,45,97.11999999999999,48.19,49.61902800658979,97.11999999999999,48.19
250502_114152_b296038d,40,0,100.0,49.47,49.47,100.0,49.47
250502_114201_bc353e69,40,5,100.0,49.24,49.24,100.0,49.24
250502_114210_eae14a71,40,10,100.0,49.370000000000005,49.370000000000005,100.0,49.370000000000005
250502_114219_f55f930b,40,15,100.0,48.480000000000004,48.480000000000004,100.0,48.480000000000004
250502_114228_9019a4aa,40,20,100.0,50.019999999999996,50.019999999999996,100.0,50.019999999999996
250502_114237_9a4d3399,40,25,100.0,49.34,49.34,100.0,49.34
250502_114246_b1f3a8fd,40,30,100.0,47.94,47.94,100.0,47.94
250502_114255_e73f0bce,40,35,100.0,48.69,48.69,100.0,48.69
250502_114304_837ad840,40,40,99.89,48.06,48.112924216638305,99.89,48.06
250502_114313_a789f55b,40,45,94.01,46.400000000000006,49.35645144133603,94.01,46.400000000000006
250502_114322_11f76ff1,50,0,100.0,49.57,49.57,100.0,49.57
250502_114330_fa18dd62,50,5,100.0,48.949999999999996,48.949999999999996,100.0,48.949999999999996
250502_114339_f7b139f3,50,10,100.0,49.81,49.81,100.0,49.81
250502_114348_538faf06,50,15,100.0,49.05,49.05,100.0,49.05
250502_114357_eb46ff49,50,20,100.0,49.59,49.59,100.0,49.59
250502_114406_8dbdbc26,50,25,100.0,49.63,49.63,100.0,49.63
250502_114415_b94cf24e,50,30,100.0,48.63,48.63,100.0,48.63
250502_114423_f2651231,50,35,99.99,47.910000000000004,47.914791479147915,99.99,47.910000000000004
250502_114432_013c3e99,50,40,99.59,47.620000000000005,47.81604578772969,99.59,47.620000000000005
250502_114441_d54c86fb,50,45,90.67,46.58,51.373111282673435,90.67,46.58
250502_114450_3da7bb47,60,0,100.0,48.66,48.66,100.0,48.66
250502_114459_03d08f19,60,5,100.0,48.730000000000004,48.730000000000004,100.0,48.730000000000004
250502_114508_b3324bd3,60,10,100.0,47.79,47.79,100.0,47.79
250502_114517_30c2e76b,60,15,100.0,48.35,48.35,100.0,48.35
250502_114526_1a4a43f9,60,20,100.0,49.120000000000005,49.120000000000005,100.0,49.120000000000005
250502_114535_e038aa83,60,25,100.0,48.79,48.79,100.0,48.79
250502_114544_ddc2e443,60,30,100.0,48.11,48.11,100.0,48.11
250502_114552_8756f2f7,60,35,99.97,48.370000000000005,48.384515354606386,99.97,48.370000000000005
250502_114601_0cfdb046,60,40,98.74000000000001,47.349999999999994,47.95422321247722,98.74000000000001,47.349999999999994
250502_114610_76bde6ba,60,45,88.0,47.03,53.44318181818182,88.0,47.03
250502_114619_c79d8010,70,0,100.0,48.91,48.91,100.0,48.91
250502_114628_40121d95,70,5,100.0,47.699999999999996,47.699999999999996,100.0,47.699999999999996
250502_114637_e2ac0b95,70,10,100.0,48.85,48.85,100.0,48.85
250502_114646_d73497d4,70,15,100.0,48.8,48.8,100.0,48.8
250502_114655_c612ac52,70,20,100.0,47.260000000000005,47.260000000000005,100.0,47.260000000000005
250502_114704_50b785f3,70,25,100.0,48.309999999999995,48.309999999999995,100.0,48.309999999999995
250502_114713_ae350eb2,70,30,100.0,48.010000000000005,48.010000000000005,100.0,48.010000000000005
250502_114722_8bc79e48,70,35,99.92,47.38,47.41793434747798,99.92,47.38
250502_114731_42165664,70,40,97.61,46.63,47.77174469828911,97.61,46.63
250502_114740_04a3bd23,70,45,85.38,46.97,55.01288357929257,85.38,46.97
250502_114748_1c6e316c,80,0,100.0,47.660000000000004,47.660000000000004,100.0,47.660000000000004
250502_114757_fdf6fc1e,80,5,100.0,47.79,47.79,100.0,47.79
250502_114806_36cda1e4,80,10,100.0,47.65,47.65,100.0,47.65
250502_114815_28398220,80,15,100.0,47.65,47.65,100.0,47.65
250502_114824_c3e2f557,80,20,100.0,48.010000000000005,48.010000000000005,100.0,48.010000000000005
250502_114833_a7995397,80,25,100.0,48.26,48.26,100.0,48.26
250502_114842_fe7c78fe,80,30,99.97,48.51,48.524557367210164,99.97,48.51
250502_114851_ea12da2a,80,35,99.69,48.13,48.27966696759956,99.69,48.13
250502_114900_e91a3e65,80,40,96.71,47.68,49.30203701788854,96.71,47.68
250502_114909_aefc6d25,80,45,83.16,47.5,57.11880711880711,83.16,47.5
250502_114918_4dc08986,90,0,100.0,48.42,48.42,100.0,48.42
250502_114927_1510128d,90,5,100.0,48.120000000000005,48.120000000000005,100.0,48.120000000000005
250502_114935_7dc21b1f,90,10,100.0,48.18,48.18,100.0,48.18
250502_114944_8a1d50b8,90,15,100.0,47.870000000000005,47.870000000000005,100.0,47.870000000000005
250502_114953_baae6d99,90,20,100.0,46.87,46.87,100.0,46.87
250502_115002_a8c7a924,90,25,100.0,47.77,47.77,100.0,47.77
250502_115011_b8817b42,90,30,99.97,47.089999999999996,47.10413123937181,99.97,47.089999999999996
250502_115020_eeeaa8fe,90,35,99.3,47.25,47.583081570996974,99.3,47.25
250502_115029_de27d00a,90,40,95.30999999999999,46.85,49.15538768229986,95.30999999999999,46.85
250502_115038_ee602e4a,90,45,80.38,46.94,58.39761134610599,80.38,46.94
250502_115047_1d79f637,100,0,100.0,47.089999999999996,47.089999999999996,100.0,47.089999999999996
250502_115056_e81c9dc6,100,5,100.0,47.75,47.75,100.0,47.75
250502_115105_c5adcfc1,100,10,100.0,46.44,46.44,100.0,46.44
250502_115114_eb420459,100,15,100.0,46.88,46.88,100.0,46.88
250502_115123_f77f4434,100,20,100.0,48.06,48.06,100.0,48.06
250502_115131_485fc258,100,25,99.98,46.0,46.00920184036808,99.98,46.0
250502_115141_cb32c8f8,100,30,99.88,47.53,47.58710452543052,99.88,47.53
250502_115149_fececd0f,100,35,98.86,47.199999999999996,47.74428484725875,98.86,47.199999999999996
250502_115159_6865732c,100,40,94.41000000000001,47.56,50.376019489460866,94.41000000000001,47.56
250502_115207_ab8ce4b7,100,45,78.74,47.49,60.312420624841245,78.74,47.49
250502_115216_b5ec7688,110,0,100.0,46.31,46.31,100.0,46.31
250502_115225_deeb4292,110,5,100.0,46.39,46.39,100.0,46.39
250502_115234_9678a43a,110,10,100.0,45.43,45.43,100.0,45.43
250502_115243_4ea2044e,110,15,100.0,46.85,46.85,100.0,46.85
250502_115252_f01b448e,110,20,100.0,46.6,46.6,100.0,46.6
250502_115301_1360933f,110,25,99.96000000000001,46.67,46.68867547018807,99.96000000000001,46.67
250502_115310_95ee0b41,110,30,99.76,47.13,47.24338412189254,99.76,47.13
250502_115319_3ce7998e,110,35,98.39,46.9,47.667445878646205,98.39,46.9
250502_115328_14004a6f,110,40,92.84,46.69,50.29082292115468,92.84,46.69
250502_115336_fd45951c,110,45,78.19,49.05,62.73180713646246,78.19,49.05
250502_115347_6c742dcc,120,0,100.0,45.4,45.4,100.0,45.4
250502_115358_3f4d9073,120,5,100.0,44.019999999999996,44.019999999999996,100.0,44.019999999999996
250502_115409_bb209e81,120,10,100.0,45.61,45.61,100.0,45.61
250502_115421_8153afa2,120,15,100.0,46.04,46.04,100.0,46.04
250502_115430_a96f6493,120,20,100.0,45.97,45.97,100.0,45.97
250502_115439_97604793,120,25,99.94,46.25,46.277766659996,99.94,46.25
250502_115448_2dd3e2cc,120,30,99.61,47.93,48.11765886959141,99.61,47.93
250502_115458_ecba3b6d,120,35,98.0,48.58,49.57142857142857,98.0,48.58
250502_115506_2041fc8f,120,40,91.75999999999999,48.61,52.97515257192676,91.75999999999999,48.61
250502_115515_4ecedda4,120,45,76.91,48.85,63.51579768560656,76.91,48.85
250502_115524_2528e9ee,130,0,100.0,42.71,42.71,100.0,42.71
250502_115533_be5e59da,130,5,100.0,43.71,43.71,100.0,43.71
250502_115543_918b41c8,130,10,100.0,44.79,44.79,100.0,44.79
250502_115551_fbe20214,130,15,100.0,45.910000000000004,45.910000000000004,100.0,45.910000000000004
250502_115600_2e8b5f8a,130,20,99.99,46.28,46.284628462846285,99.99,46.28
250502_115609_87b56973,130,25,99.96000000000001,47.52,47.539015606242494,99.96000000000001,47.52
250502_115618_ce641409,130,30,99.55000000000001,47.699999999999996,47.9156202913109,99.55000000000001,47.699999999999996
250502_115627_cb667140,130,35,97.74000000000001,48.949999999999996,50.081849805606716,97.74000000000001,48.949999999999996
250502_115637_86caa62e,130,40,90.98,49.18,54.05583644757089,90.98,49.18
250502_115646_23251683,130,45,75.7,49.47,65.35006605019815,75.7,49.47
250502_115655_13e2f54a,140,0,100.0,40.88,40.88,100.0,40.88
250502_115704_b6245646,140,5,100.0,41.730000000000004,41.730000000000004,100.0,41.730000000000004
250502_115713_55766de9,140,10,100.0,43.34,43.34,100.0,43.34
250502_115722_123da147,140,15,100.0,45.43,45.43,100.0,45.43
250502_115731_96e96c70,140,20,99.99,46.31,46.31463146314631,99.99,46.31
250502_115739_bb9fe8f5,140,25,99.96000000000001,46.89,46.90876350540216,99.96000000000001,46.89
250502_115748_0b22e5bc,140,30,99.33999999999999,47.96,48.2786390175156,99.33999999999999,47.96
250502_115758_5e8322ff,140,35,97.22,48.620000000000005,50.01028594939313,97.22,48.620000000000005
250502_115808_855c7a29,140,40,89.78,48.089999999999996,53.564268211182885,89.78,48.089999999999996
250502_115818_3c1f915f,140,45,74.08,49.61,66.9681425485961,74.08,49.61
250502_115827_6e09f2f5,150,0,100.0,38.91,38.91,100.0,38.91
250502_115836_d4d306b2,150,5,100.0,39.97,39.97,100.0,39.97
250502_115845_c4fd647a,150,10,100.0,42.39,42.39,100.0,42.39
250502_115854_12d5d74a,150,15,99.99,45.65,45.654565456545654,99.99,45.65
250502_115903_a7d43cdf,150,20,99.98,46.54,46.5493098619724,99.98,46.54
250502_115912_871a8542,150,25,99.89,47.33,47.3821203323656,99.89,47.33
250502_115921_e26fa4a7,150,30,99.45,48.699999999999996,48.969331322272495,99.45,48.699999999999996
250502_115930_02a28720,150,35,96.99,48.77,50.28353438498814,96.99,48.77
250502_115939_bf9fdf42,150,40,89.52,49.05,54.792225201072384,89.52,49.05
250502_115948_d3759dd9,150,45,74.14,50.029999999999994,67.48044240625843,74.14,50.029999999999994
250502_115958_c44bb2f1,160,0,100.0,35.120000000000005,35.120000000000005,100.0,35.120000000000005
