ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250502_120435_bdd8e4bf,0,0,100.0,45.660000000000004,45.660000000000004,100.0,45.660000000000004
250502_120444_9835366e,0,5,100.0,46.39,46.39,100.0,46.39
250502_120452_e994965c,0,10,99.99,46.33,46.334633463346336,99.99,46.33
250502_120500_c18e758d,0,15,99.99,45.839999999999996,45.844584458445844,99.99,45.839999999999996
250502_120508_1f153ade,0,20,99.97,46.19,46.2038611583475,99.97,46.19
250502_120516_53e6f564,0,25,99.83,45.82,45.89802664529701,99.83,45.82
250502_120524_db51f819,0,30,99.00999999999999,45.98,46.43975356024644,99.00999999999999,45.98
250502_120532_a8d0e13b,0,35,96.26,46.489999999999995,48.296280905879904,96.26,46.489999999999995
250502_120540_cc325afc,0,40,87.71,46.83,53.39185953711093,87.71,46.83
250502_120548_44a7bd64,0,45,71.04,46.77,65.83614864864865,71.04,46.77
250502_120556_9b75de9a,10,0,100.0,46.35,46.35,100.0,46.35
250502_120604_c3c48d56,10,5,100.0,46.97,46.97,100.0,46.97
250502_120613_d5d95243,10,10,99.99,45.83,45.83458345834583,99.99,45.83
250502_120622_63d60ff9,10,15,100.0,46.53,46.53,100.0,46.53
250502_120631_49afdf69,10,20,99.97,46.910000000000004,46.92407722316695,99.97,46.910000000000004
250502_120639_ded11643,10,25,99.85000000000001,46.51,46.57986980470706,99.85000000000001,46.51
250502_120648_7e2bd5d6,10,30,99.06,46.77,47.213809812235006,99.06,46.77
250502_120657_eefed18b,10,35,95.39999999999999,46.31,48.542976939203356,95.39999999999999,46.31
250502_120706_1b68a5e0,10,40,87.69,45.550000000000004,51.944349412703836,87.69,45.550000000000004
250502_120714_870a25b7,10,45,71.59,46.93,65.55384830283559,71.59,46.93
250502_120723_d124ed34,20,0,100.0,46.6,46.6,100.0,46.6
250502_120732_64b0bc29,20,5,100.0,46.27,46.27,100.0,46.27
250502_120741_3655b629,20,10,100.0,46.589999999999996,46.589999999999996,100.0,46.589999999999996
250502_120749_855af6a0,20,15,100.0,45.98,45.98,100.0,45.98
250502_120758_462baa2a,20,20,99.97,46.57,46.58397519255777,99.97,46.57
250502_120807_c3c3e981,20,25,99.78,46.73,46.83303267187814,99.78,46.73
