ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250502_110725_1b00811b,0,0,100.0,73.83,73.83,76.25,73.83
250502_110737_4e805f13,0,5,100.0,73.59,73.59,76.67,73.59
250502_110746_8ef5aa0f,0,10,100.0,73.4,73.4,76.5,73.4
250502_110755_dc1972bc,0,15,100.0,73.11,73.11,77.0,73.11
250502_110803_d6d6990f,0,20,100.0,73.05,73.05,77.11,73.05
250502_110812_775c5903,0,25,100.0,73.17,73.17,77.42,73.17
250502_110820_384df522,0,30,100.0,73.5,73.5,76.31,73.5
250502_110829_d748732f,0,35,100.0,74.1,74.1,76.82,74.1
250502_110838_2f3cd218,0,40,100.0,73.17,73.17,76.67,73.17
250502_110846_b3172b03,0,45,100.0,73.44000000000001,73.44000000000001,76.44999999999999,73.44000000000001
250502_110855_7bd82f19,10,0,96.71,47.75,49.37441836418157,96.71,47.75
250502_110904_39a6e7d3,10,5,97.5,40.02,41.04615384615385,97.5,40.02
250502_110913_4ff25acc,10,10,96.91,29.01,29.93499122897534,96.91,29.01
250502_110922_99cc3d53,10,15,96.09,26.040000000000003,27.099594130502652,96.09,26.040000000000003
250502_110930_2a2e4950,10,20,93.31,33.7,36.11617190011789,93.31,33.7
250502_110939_b57173f1,10,25,89.72,46.12,51.40436914846188,89.72,46.12
250502_110948_e42e8e02,10,30,84.32,49.54,58.75237191650854,84.32,49.54
250502_110957_e23a90fe,10,35,78.03999999999999,49.480000000000004,63.403382880574064,78.03999999999999,49.480000000000004
250502_111006_a4f7ebb9,10,40,70.15,49.19,70.12116892373486,70.15,49.19
250502_111014_381c1b33,10,45,61.92999999999999,50.129999999999995,80.94622961408041,61.92999999999999,50.129999999999995
250502_111023_ef1e4e7e,20,0,99.48,37.41,37.60554885404102,99.48,37.41
250502_111032_2b653cc5,20,5,99.42,33.82,34.0173003419835,99.42,33.82
250502_111041_a4f77c74,20,10,98.99,33.879999999999995,34.22567936155167,98.99,33.879999999999995
250502_111050_7d2c344a,20,15,98.26,37.25,37.9096275188276,98.26,37.25
250502_111100_a8191a5c,20,20,96.17999999999999,43.419999999999995,45.14452069037222,96.17999999999999,43.419999999999995
250502_111109_0199d343,20,25,93.12,47.61,51.12757731958762,93.12,47.61
250502_111118_2d6b248e,20,30,89.1,48.49,54.421997755331084,89.1,48.49
250502_111127_fd9481d1,20,35,82.67,48.38,58.521833797024314,82.67,48.38
250502_111136_1b77edcf,20,40,73.91,50.1,67.78514409416859,73.91,50.1
250502_111145_c080d1cf,20,45,63.449999999999996,49.01,77.24192277383767,63.449999999999996,49.01
250502_111154_b0f9be20,30,0,99.82,38.24,38.308956121017836,99.82,38.24
250502_111203_2c7e9fdd,30,5,99.72,36.9,37.00361010830325,99.72,36.9
250502_111212_cc5112a9,30,10,99.64,38.690000000000005,38.82978723404255,99.64,38.690000000000005
250502_111220_f9062c82,30,15,98.98,41.07,41.493230955748636,98.98,41.07
250502_111229_b81cacd9,30,20,97.53,44.79,45.92433097508459,97.53,44.79
250502_111238_5956e044,30,25,95.38,47.42,49.71692178653806,95.38,47.42
250502_111247_116685a0,30,30,91.58,48.8,53.28674383053068,91.58,48.8
250502_111256_ff362bce,30,35,85.63,48.620000000000005,56.77916618007708,85.63,48.620000000000005
