ts_id,dpsi_val,dcpa_val,conflict_dcpa,conflict_tin,conflict_tin_defined,conflict_tout,is_conflict
250502_123253_882a85ab,0,0,81.78999999999999,61.660000000000004,75.38818926519134,68.93,61.660000000000004
250502_123302_e4905cdd,0,5,81.85,61.22,74.79535736102628,69.39,61.22
250502_123310_9a291909,0,10,81.39,61.36000000000001,75.39009706352132,69.47,61.36000000000001
250502_123318_6079fdf7,0,15,81.13,61.94,76.34660421545667,68.46,61.94
250502_123326_4dfdbb5e,0,20,80.07,60.550000000000004,75.6213313350818,67.47,60.550000000000004
250502_123334_880d2cfb,0,25,79.49000000000001,62.07,78.08529374764122,67.14,62.07
250502_123342_4c50b9e3,0,30,78.17,60.68,77.62568760394014,66.24,60.68
250502_123350_e2d1b3de,0,35,77.06,60.940000000000005,79.08123540098624,65.25,60.940000000000005
250502_123357_d38b7f76,0,40,75.51,61.370000000000005,81.27400344325255,62.849999999999994,61.370000000000005
250502_123405_d839db9a,0,45,73.57000000000001,62.33,84.72203343754248,61.22,62.33
250502_123413_6292fa2a,10,0,92.30000000000001,43.61,47.24810400866739,92.30000000000001,43.61
250502_123422_c7bad85f,10,5,91.62,43.68,47.67518009168304,91.61,43.68
250502_123430_dc1629a0,10,10,90.97,43.580000000000005,47.90590304495987,90.97,43.580000000000005
250502_123439_b1c1304c,10,15,89.71000000000001,43.59,48.589900791439085,89.71000000000001,43.59
250502_123448_da5f9437,10,20,87.29,43.18,49.46729293160729,87.29,43.18
250502_123456_147da140,10,25,83.94,44.12,52.56135334762926,83.94,44.12
250502_123505_f380795f,10,30,80.46,43.71,54.325130499627136,80.46,43.71
250502_123514_7a99833e,10,35,75.3,44.14,58.61885790172643,75.29,44.14
250502_123523_bb31ff90,10,40,68.46,44.769999999999996,65.3958515921706,68.45,44.769999999999996
250502_123531_59076a16,10,45,62.07,45.43,73.19155791847913,62.050000000000004,45.43
250502_123540_4f40a766,20,0,98.09,43.62,44.46936486899786,98.09,43.62
250502_123549_4e167daf,20,5,97.95,44.269999999999996,45.19652884124553,97.95,44.269999999999996
250502_123558_b442c9e7,20,10,97.15,43.86,45.14668039114771,97.15,43.86
250502_123606_4f2aa5b0,20,15,95.44,43.01,45.06496227996647,95.44,43.01
250502_123615_71f16119,20,20,92.75999999999999,44.49,47.96248382923674,92.75999999999999,44.49
250502_123624_b9ced7eb,20,25,89.3,43.54,48.75699888017917,89.3,43.54
250502_123633_e95cef56,20,30,84.56,44.080000000000005,52.1286660359508,84.56,44.080000000000005
250502_123642_925cc6d6,20,35,78.71000000000001,44.519999999999996,56.5620632702325,78.71000000000001,44.519999999999996
250502_123650_2d3c1cea,20,40,71.08,44.41,62.478897017445135,71.08,44.41
250502_123659_fae4708b,20,45,62.13999999999999,45.51,73.2378500160927,62.13999999999999,45.51
250502_123708_9f534272,30,0,99.22,43.85,44.1947188066922,99.22,43.85
250502_123717_b3e604c9,30,5,99.03999999999999,43.2,43.61873990306947,99.03999999999999,43.2
250502_123726_b7409e59,30,10,98.49,44.05,44.725352827698245,98.49,44.05
250502_123735_a8d9452d,30,15,97.21,44.51,45.78747042485341,97.21,44.51
250502_123743_f826abd8,30,20,95.12,44.86,47.16148023549201,95.12,44.86
250502_123752_86b134af,30,25,91.53999999999999,44.629999999999995,48.754642779112956,91.53999999999999,44.629999999999995
250502_123801_3226b2cc,30,30,87.52,44.55,50.9026508226691,87.52,44.55
250502_123810_f8f620c6,30,35,81.02000000000001,43.480000000000004,53.6657615403604,81.02000000000001,43.480000000000004
250502_123819_e951e619,30,40,73.72999999999999,45.910000000000004,62.26773362267733,73.72999999999999,45.910000000000004
250502_123828_8bee24f2,30,45,63.23,45.989999999999995,72.73446148979914,63.23,45.989999999999995
250502_123836_4b242d23,40,0,99.55000000000001,42.480000000000004,42.6720241084882,99.55000000000001,42.480000000000004
250502_123845_604388ab,40,5,99.52,43.54,43.75,99.52,43.54
250502_123854_e5fe3d25,40,10,98.78,43.99,44.533306337315246,98.78,43.99
250502_123903_d4d7145f,40,15,98.05,44.48,45.36460989291178,98.05,44.48
250502_123912_052128f9,40,20,95.8,44.41,46.356993736951985,95.8,44.41
250502_123921_97db1f7c,40,25,93.38,43.81,46.91582780038552,93.38,43.81
250502_123930_41dcd3f8,40,30,88.92,44.31,49.83130904183536,88.92,44.31
250502_123939_b54cab5c,40,35,82.84,45.53,54.96137131820377,82.84,45.53
250502_123947_7f5d1785,40,40,74.11,45.16,60.936445823775465,74.11,45.16
250502_123956_082f15fe,40,45,63.0,44.72,70.98412698412699,63.0,44.72
250502_124005_54b55a10,50,0,99.81,43.54,43.62288347860936,99.81,43.54
250502_124014_4a592d7d,50,5,99.69,43.35,43.48480288895576,99.69,43.35
250502_124023_b6396088,50,10,99.14,43.66,44.03873310470042,99.14,43.66
250502_124032_56521bd3,50,15,98.42999999999999,43.78,44.47830945849843,98.42999999999999,43.78
250502_124041_1860a27e,50,20,96.78,43.91,45.37094441000207,96.78,43.91
250502_124050_0f7eeaa1,50,25,93.97999999999999,44.5,47.35050010640562,93.97999999999999,44.5
