Bin,MVP_Count,VO_Count,MVP_Percent,VO_Percent
0–5,0,64,0.0,6.4
5–10,0,98,0.0,9.8
10–15,0,146,0.0,14.6
15–20,0,140,0.0,14.000000000000002
20–25,0,124,0.0,12.4
25–30,0,149,0.0,14.899999999999999
30–35,0,128,0.0,12.8
35–40,0,104,0.0,10.4
40–45,1,20,0.1,2.0
45–50,25,10,2.5,1.0
50–55,642,6,64.2,0.6
55–60,331,7,33.1,0.7000000000000001
60–65,1,3,0.1,0.3
65–70,0,1,0.0,0.1
70–75,0,0,0.0,0.0
75–80,0,0,0.0,0.0
80–85,0,0,0.0,0.0
85–90,0,0,0.0,0.0
90–95,0,0,0.0,0.0
95–100,0,0,0.0,0.0
100–105,0,0,0.0,0.0
105–110,0,0,0.0,0.0
