Bin,MVP_Count,VO_Count,MVP_Percent,VO_Percent
0–5,0,3,0.0,0.006
5–10,0,2,0.0,0.004
10–15,0,0,0.0,0.0
15–20,0,2,0.0,0.004
20–25,0,0,0.0,0.0
25–30,0,3,0.0,0.006
30–35,2,13,0.004,0.026
35–40,6,251,0.012,0.502
40–45,49,2824,0.098,5.648000000000001
45–50,553,44884,1.106,89.768
50–55,10560,1987,21.12,3.9739999999999998
55–60,38830,31,77.66,0.062
60–65,0,0,0.0,0.0
65–70,0,0,0.0,0.0
70–75,0,0,0.0,0.0
75–80,0,0,0.0,0.0
80–85,0,0,0.0,0.0
85–90,0,0,0.0,0.0
90–95,0,0,0.0,0.0
95–100,0,0,0.0,0.0
100–105,0,0,0.0,0.0
105–110,0,0,0.0,0.0
