Bin,MVP_Count,VO_Count,MVP_Percent,VO_Percent
0–5,0,4,0.0,0.4
5–10,0,23,0.0,2.3
10–15,0,82,0.0,8.200000000000001
15–20,0,148,0.0,14.799999999999999
20–25,0,177,0.0,17.7
25–30,0,185,0.0,18.5
30–35,0,156,0.0,15.6
35–40,0,89,0.0,8.9
40–45,1,81,0.1,8.1
45–50,48,48,4.8,4.8
50–55,951,7,95.1,0.7000000000000001
55–60,0,0,0.0,0.0
60–65,0,0,0.0,0.0
65–70,0,0,0.0,0.0
70–75,0,0,0.0,0.0
75–80,0,0,0.0,0.0
80–85,0,0,0.0,0.0
85–90,0,0,0.0,0.0
90–95,0,0,0.0,0.0
95–100,0,0,0.0,0.0
100–105,0,0,0.0,0.0
105–110,0,0,0.0,0.0
